"","card1","card2","suit/off","win","tie","loss"
"1","2","3","s","0.331536922396576","0.0578159399885315","0.610647137614892"
"2","2","4","s","0.33820575305291","0.0562650304704619","0.605529216476628"
"3","2","5","s","0.346760586843","0.0552296426004158","0.598009770556584"
"4","2","6","s","0.341821199191557","0.0539391287639026","0.604239672044541"
"5","2","7","s","0.345606967709423","0.0519074060080442","0.602485626282533"
"6","2","8","s","0.364591475236956","0.0507035372789935","0.58470498748405"
"7","2","9","s","0.384349809172215","0.0493284586876721","0.566321732140113"
"8","2","t","s","0.407785862343174","0.0482739539155326","0.543940183741294"
"9","2","j","s","0.43386018600646","0.0475725521358517","0.518567261857689"
"10","2","q","s","0.464091390256893","0.0472348474877609","0.488673762255346"
"11","2","k","s","0.499050624637466","0.0472231251891289","0.453726250173406"
"12","2","a","s","0.550989016177195","0.0464864907449746","0.402524493077831"
"13","3","4","s","0.356667021989701","0.0683209564210343","0.575012021589265"
"14","3","5","s","0.366700454983721","0.0687623131206071","0.564537231895672"
"15","3","6","s","0.364859731290668","0.0676467836900429","0.56749348501929"
"16","3","7","s","0.372373633623573","0.0648271956362662","0.562799170740161"
"17","3","8","s","0.382288666589265","0.0619269151117099","0.555784418299025"
"18","3","9","s","0.406754598666936","0.0593535019870284","0.533891899346035"
"19","3","t","s","0.431578977159945","0.056484519113542","0.511936503726513"
"20","3","j","s","0.457235376173129","0.0539400297756352","0.488824594051236"
"21","3","q","s","0.484982092740504","0.0516956309320835","0.463322276327413"
"22","3","k","s","0.514857955148378","0.0496973266278004","0.435444718223821"
"23","3","a","s","0.557260108339762","0.0470865322336913","0.395653359426547"
"24","4","5","s","0.383530051022383","0.0684827764134206","0.547987172564197"
"25","4","6","s","0.381840850330675","0.0677661602183244","0.550392989451001"
"26","4","7","s","0.389430614651536","0.0650364527196408","0.545532932628823"
"27","4","8","s","0.399480976797302","0.0621334483986025","0.538385574804096"
"28","4","9","s","0.412175116810201","0.0592864970664523","0.528538386123346"
"29","4","t","s","0.439085753171152","0.0568036430815777","0.504110603747271"
"30","4","j","s","0.464746036904492","0.0542479180831827","0.481006045012326"
"31","4","q","s","0.492463590880018","0.0519922835791427","0.455544125540839"
"32","4","k","s","0.52227724338404","0.0499827436143713","0.427740013001589"
"33","4","a","s","0.564252779587022","0.0473634160765959","0.388383804336382"
