Referee;Apps;Fouls pg;Fouls/Tackles;Pen pg;Yel pg;Yel;Red pg;Red
1.Michael Oliver;30;21.33;0.63;0.37;2.90;87;0.03;1
2.Paul Tierney;30;20.97;0.58;0.17;3.80;114;0.07;2
3.Anthony Taylor;29;20.10;0.59;0.17;3.83;111;0.14;4
4.Simon Hooper;27;20.52;0.58;0.22;3.52;95;0.04;1
5.Robert Jones;25;22.76;0.68;0.44;4.16;104;0.00;0
6.Andy Madley;24;22.71;0.70;0.17;3.54;85;0.13;3
7.Stuart Attwell;23;20.09;0.61;0.17;3.26;75;0.09;2
8.Craig Pawson;21;23.90;0.66;0.33;3.76;79;0.05;1
9.Peter Bankes;21;23.05;0.66;0.05;4.33;91;0.00;0
10.David Coote;20;23.10;0.71;0.30;3.45;69;0.15;3
11.John Brooks;18;22.22;0.68;0.33;4.28;77;0.06;1
12.Darren England;17;21.65;0.70;0.35;3.71;63;0.12;2
13.Jarred Gillett;16;17.88;0.56;0.31;2.88;46;0.06;1
14.Michael Salisbury;15;23.33;0.64;0.07;4.40;66;0.20;3
15.Chris Kavanagh;13;20.77;0.60;0.46;3.15;41;0.00;0
16.Andre Marriner;12;19.17;0.55;0.33;3.83;46;0.17;2
17.Thomas Bramall;7;24.71;0.73;0.43;3.14;22;0.00;0
18.Graham Scott;6;19.83;0.67;0.50;2.17;13;0.33;2
19.Tony Harrington;6;22.00;0.54;0.33;3.83;23;0.00;0
20.Darren Bond;4;19.75;0.62;0.00;4.00;16;0.25;1
21.Tim Robinson;2;28.50;0.97;0.00;4.50;9;0.00;0
22.Robert Madley;1;27.00;0.79;0.00;6.00;6;1.00;1
23.Josh Smith;1;25.00;0.89;1.00;3.00;3;0.00;0
